product_name,category,product_url,price,original_price,sale_price,image_url,product_type
Chén trộn (Ms: 8205),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/chen-tron-ms-8205/,"79,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/TN3_Chen-tron-05-1-1.png,simple
Xi Măng Đa Năng Totalcem,Vật liệu gắn,https://tinnha.vn/shop/vat-lieu-gan/xi-mang-da-nang-totalcem/,"2,950,000 ",,,https://tinnha.vn/wp-content/uploads/2024/07/totalcem.jpg,simple
Banh môi (Ms: 2918),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/banh-moi-ms-2918/,"190,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/TN6_Banh-moi-25-1-1.png,simple
Xương Tổng Hợp Qbone Plug,Vật liệu cấy ghép,https://tinnha.vn/shop/vat-lieu-cay-ghep/xuong-tong-hop-qbone-plug/,"1,090,000  – 1,290,000",,,https://tinnha.vn/wp-content/uploads/2024/07/QBONPLUS_Hình-có-giá-1.jpg,configurable
Mũi Mài Chỉnh Composite 1mm,Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-mai-chinh-composite-1mm/,"390,000 ",,,https://tinnha.vn/wp-content/uploads/2024/02/166-010F-1-1-1.jpg,simple
Bộ Kit Trám Layer Technique,Vật liệu trám,https://tinnha.vn/shop/vat-lieu-tram/bo-kit-tram-layer-technique/,"6,250,000 ",,,https://tinnha.vn/wp-content/uploads/2023/07/bo-kit-tram-layer-technique-2-01-1.jpg,simple
Tẩy Trắng W-Gel,*Giải phóng hàng tồn,https://tinnha.vn/shop/sales/tay-trang-w-gel/,,"2,250,000 ₫","1,225,000 ₫",https://tinnha.vn/wp-content/uploads/2024/06/tẩy-trắng-wgel.jpg,simple
Kẹp giữ kim (Ms: 2D29),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/kep-giu-kim-ms-2d29/,"429,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/2D29_Kep-giu-kim.png,simple
Ống hút phẫu thuật (Ms: 2C08),Ống hút phẫu thuật,https://tinnha.vn/shop/dung-cu/ong-hut-phau-thuat/ong-hut-phau-thuat-ms-2c08/,"279,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/2C08_Ong-hut-phau-thuat-03-1-1.png,simple
Bóc tách (Ms: 2603-2604),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/boc-tach-ms-2603-2604/,"109,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/2603-2604-1-1.png,simple
Cán dao (Ms: 2208- 2209),"Dao, cán dao",https://tinnha.vn/shop/dung-cu/dao-can-dao/can-dao-ms-2208-2209/,"149,000  – 590,000",,,https://tinnha.vn/wp-content/uploads/2024/04/2208-2209_Can-dao-13.png,configurable
Cối Nghiền Xương Bone Mill,*Giải phóng hàng tồn,https://tinnha.vn/shop/sales/coi-nghien-xuong-bone-mill/,,"11,760,000 ₫","7,056,000 ₫",https://tinnha.vn/wp-content/uploads/2024/06/Cối-nghiền-xương.jpg,simple
Bộ Kit Nâng Xoang Kín (Sinus Srestal Approach Kit),Kit phẫu thuật,https://tinnha.vn/shop/kit-phau-thuat/bo-kit-nang-xoang-kin-sinus-srestal-approach-kit/,"27,600,000 ",,,https://tinnha.vn/wp-content/uploads/2022/08/ca14ff5d12dbdf8586ca.jpg,simple
Búc đục xương (Ms: 5517),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/buc-duc-xuong-ms-5517/,"839,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/TN-4a_Bua-duc-xuong-1-1.png,simple
Kẹp kim (Ms: 2D07-2D08),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/kep-kim-ms-2d07-2d08/,"419,000  – 449,000",,,https://tinnha.vn/wp-content/uploads/2024/04/2D07-2D08Kep-kim-04.png,configurable
"Mũi Khoan Hình Tên Lửa 1,2mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-khoan-hinh-ten-lua-12mm/,"320,000  – 350,000",,,https://tinnha.vn/wp-content/uploads/2024/03/288-012M-1-1.jpg,configurable
Ống Hút (Saliva Ejector),Vật liệu tiêu hao,https://tinnha.vn/shop/vat-lieu-tieu-hao/ong-hut-nuoc-bot-saliva-ejector/,"46,000 ",,,https://tinnha.vn/wp-content/uploads/2023/06/Ong-hut-nuoc-bot-mau-xanh-01.png,simple
Mặt gương 1 mặt ( Ms: 1202),Cán gương,https://tinnha.vn/shop/dung-cu/can-guong/mat-guong-1-mat-ms-1202-2/,"159,000 ",,,https://tinnha.vn/wp-content/uploads/2024/04/1202_Mat-guong-1-mat-1-1.png,simple
"Mũi Khoan Cắt Composite 1,1mm",Mũi khoan,https://tinnha.vn/shop/mui-khoan-kim-cuong/mui-khoan-cat-composite-11mm/,"320,000 ",,,https://tinnha.vn/wp-content/uploads/2024/02/108-011C-1-1-1.jpg,simple
Bóc tách (Ms: 2609- 2620),Dụng cụ TN,https://tinnha.vn/shop/dung-cu/boc-tach-ms-2609-2620/,"109,000  – 179,000",,,https://tinnha.vn/wp-content/uploads/2024/04/2609-2620-1-1.png,configurable
Đầu Khủy Tay Chậm (Contra Angle),Thiết bị,https://tinnha.vn/shop/thiet-bi/thiet-bi-khac/dau-khuy-tay-cham-contra-angle/,"850,000 ",,,https://tinnha.vn/wp-content/uploads/2022/08/dau-khuy-tay-cham.jpg,simple
